911,1470,ברזל קוטר 10 אורך 0.9 מ'
911,1473,ברזל קוטר 10 אורך 0.39 מ'
911,1474,ברזל קוטר 12 אורך 0.55 מ'
911,1476,ברזל קוטר 16 אורך 1.65 מ'
911,1477,ברזל קוטר 16 אורך 1.35 מ'
911,1478,ברזל קוטר 12 אורך 1.2 מ'
911,1479,ברזל קוטר 10 אורך 0.3 מ'
911,1480,ברזל קוטר 8 אורך 1.55 מ'
911,1481,ברזל קוטר 18 אורך 6 מ'
911,1482,ברזל קוטר 16 אורך 6 מ'
911,1483,ברזל קוטר 6 אורך 3 מ'
911,1486,ברזל קוטר 8 אורך 0.55 מ'
911,1487,ברזל קוטר 14 אורך 1.5 מ'
911,1490,ברזל קוטר 8 אורך 12 מ'
911,1491,ברזל קוטר 12 אורך 12 מ'
911,1492,ברזל קוטר 8 אורך 2.34 מ'
911,1493,ברזל קוטר 6 אורך 1 מ'
911,1494,ברזל קוטר 8 אורך 1.3 מ'
911,1495,ברזל קוטר 20 אורך 8.5 מ'
911,1496,ברזל קוטר 20 אורך 4.15 מ'
911,1497,ברזל קוטר 8 אורך 0.75 מ'
911,1498,ברזל קוטר 16 אורך 0.9 מ'
911,1499,ברזל קוטר 8 אורך 0.9 מ'
911,1500,ברזל קוטר 8 אורך 3.1 מ'
911,1501,ברזל קוטר 10 אורך 12 מ'
911,1504,ברזל קוטר 10 אורך 1.2 מ'
911,1505,ברזל קוטר 10 אורך 0.41 מ'
911,1508,ברזל קוטר 20 אורך 8 מ'
911,1509,ברזל קוטר 8 אורך 2.4 מ'
911,1510,ברזל קוטר 18 אורך 7.7 מ'
911,1511,ברזל קוטר 12 אורך 2.72 מ'
911,1512,ברזל קוטר 10 אורך 2.05 מ'
911,1513,ברזל קוטר 10 אורך 1.06 מ'
911,1514,ברזל קוטר 8 אורך 2.47 מ'
911,1518,ברזל קוטר 16 אורך 1 מ'
911,1523,ברזל קוטר 14 אורך 2.1 מ'
911,1524,ברזל קוטר 10 אורך 0.95 מ'
911,1525,ברזל קוטר 8 אורך 3.4 מ'
911,1526,ברזל קוטר 10 אורך 0.45 מ'
911,1527,ברזל קוטר 12 אורך 1.15 מ'
911,1529,ברזל קוטר 12 אורך 4 מ'
911,1531,ברזל קוטר 8 אורך 1.1 מ'
911,1532,ברזל קוטר 12 אורך 1 מ'
911,1533,ברזל קוטר 12 אורך 2.9 מ'
911,1534,ברזל קוטר 14 אורך 5.58 מ'
911,1535,ברזל קוטר 12 אורך 5.5 מ'
